Doctor Identifier,Provider Type,Number of Services,Number of Beneficiaries,Total Submitted Charge Amount,Total Allowed Amount,Total Payment Amount,Total Standardized Payment Amount,Number of Drug Services,Total Drug Submitted Charge Amount,Total Drug Allowed Amount ,Total Drug Payment Amount ,Total Drug Standardized Payment Amount,Number of Medical Services,Percent Atrial Fibrillation,Percent Alzheimer’s Disease or Dementia ,Percent Asthma ,Percent Cancer ,Percent Heart Failure ,Percent Chronic Kidney Disease,Percent Chronic Obstructive Pulmonary Disease,Percent Depression ,Percent Diabetes ,Percent Hyperlipidemia ,Percent Hypertension ,Percent Ischemic Heart Disease ,Percent Osteoporosis ,Percent Rheumatoid Arthritis or Osteoarthritis ,Percent Schizophrenia or Other Psychotic Disorders ,Percent Stroke ,Average HCC Risk Score of Beneficiaries 
450181093,Optometry,491,66,52550.0,45827.7,34211.71,32460.86,0,0.0,0.0,0.0,0.0,491,1.41,1.42,18.0,1.13,2.09,20.0,1.6,75.0,18.0,41.0,50.0,3.11,0.83,23.0,18.0,0.65,1.28
375128823,Emergency Medicine,3883,211,165408.0,84216.16,62257.97,62267.51,3304,28918.0,18847.34,14776.33,14776.33,579,9.0,15.0,9.0,9.0,11.0,14.0,10.0,42.0,24.0,48.0,56.0,22.0,9.0,38.0,7.0,10.0,1.52
429379427,CRNA,3103,632,531584.25,230479.28,174262.0,167305.78,1016,32044.25,22049.04,17062.35,17062.35,2087,13.0,10.0,8.0,11.0,13.0,22.0,7.0,24.0,19.0,44.0,57.0,25.0,12.0,67.0,4.0,7.0,1.11
993555030,Podiatry,43,42,2935.0,2932.84,1652.31,4208.75,0,0.0,0.0,0.0,0.0,43,0.5,0.69,0.56,0.28,0.84,1.0,0.66,31.0,0.89,62.0,57.0,36.0,0.27,38.0,0.44,0.25,1.0
786413532,Licensed Clinical Social Worker,151,34,13118.0,3991.45,3911.61,3402.45,0,0.0,0.0,0.0,0.0,151,0.07,0.0,0.06,0.08,0.08,0.12,0.06,56.0,75.0,75.0,75.0,41.0,0.05,56.0,0.0,0.03,1.57
252733945,Nurse Practitioner,3105,557,265816.6,203699.04,161190.85,157382.01,467,39063.6,35414.25,34470.35,34470.35,2638,14.0,17.0,10.0,15.0,22.0,21.0,13.0,23.0,21.0,55.0,63.0,36.0,16.0,35.0,4.0,12.0,1.21
456649481,Psychiatry,652,107,105125.0,65273.81,49829.33,58432.91,0,0.0,0.0,0.0,0.0,652,2.75,3.66,16.0,1.69,0.0,14.0,3.54,67.0,15.0,28.0,29.0,5.77,1.5,26.0,19.0,0.0,1.05
933921624,Optometry,55,30,21619.0,5413.59,4244.37,4659.05,0,0.0,0.0,0.0,0.0,55,75.0,0.23,40.0,0.15,75.0,67.0,47.0,0.48,40.0,75.0,75.0,75.0,0.12,60.0,0.14,0.1,2.83
983640444,Psychiatry,1065,437,368171.0,106115.31,80779.56,78080.34,0,0.0,0.0,0.0,0.0,1065,21.0,9.0,41.0,20.0,36.0,39.0,61.0,35.0,28.0,57.0,75.0,47.0,18.0,43.0,4.0,7.0,2.32
404849132,Nurse Practitioner,84,53,9855.0,5663.72,3815.17,4022.73,0,0.0,0.0,0.0,0.0,84,0.0,0.36,0.36,0.27,0.53,23.0,0.42,0.75,0.66,23.0,23.0,0.78,0.21,0.86,49.0,0.16,1.26
690987556,Ambulance Service Supplier,1386,355,175980.0,76946.27,60834.54,59742.73,155,26700.0,20113.91,19353.92,19353.92,1231,12.0,8.0,18.0,14.0,18.0,24.0,19.0,25.0,36.0,70.0,75.0,31.0,14.0,45.0,2.47,6.0,1.37
658799001,Mass Immunization Roster Biller,230,19,27670.0,12295.44,8479.6,9664.12,0,0.0,0.0,0.0,0.0,230,0.0,0.0,0.52,0.32,0.79,0.97,0.62,63.0,0.9,1.51,1.79,1.04,0.0,1.11,0.38,0.0,1.04
714110083,CRNA,649,457,243603.0,47835.88,34747.61,40750.19,0,0.0,0.0,0.0,0.0,649,15.0,22.0,25.0,13.0,28.0,36.0,23.0,41.0,30.0,54.0,72.0,35.0,14.0,42.0,18.0,9.0,1.71
525325614,Internal Medicine,300,24,13106.24,13019.78,9634.41,9166.16,0,0.0,0.0,0.0,0.0,300,0.42,0.42,0.41,0.33,0.62,0.8,0.47,0.85,0.79,46.0,46.0,0.92,0.25,50.0,0.23,0.19,1.23
822648896,Medical Oncology,1831,428,293277.0,114055.12,88719.35,106501.11,0,0.0,0.0,0.0,0.0,1831,28.0,65.0,19.0,8.0,51.0,52.0,34.0,55.0,50.0,48.0,75.0,50.0,15.0,45.0,26.0,15.0,2.81
330716557,Colorectal Surgery (formerly proctology),167,164,75942.6,16868.38,13189.39,13153.03,0,0.0,0.0,0.0,0.0,167,16.0,14.0,18.0,11.0,20.0,27.0,15.0,27.0,43.0,66.0,75.0,48.0,9.0,51.0,0.33,0.33,1.55
421347269,Physician Assistant,958,681,521289.0,118911.6,90637.89,91499.73,0,0.0,0.0,0.0,0.0,958,22.0,20.0,27.0,13.0,28.0,38.0,31.0,47.0,33.0,66.0,75.0,47.0,13.0,44.0,15.0,13.0,1.7
390780559,Nurse Practitioner,727,117,82510.0,57602.1,40842.04,45297.65,0,0.0,0.0,0.0,0.0,727,2.48,3.02,16.0,1.67,3.94,16.0,11.0,75.0,36.0,51.0,44.0,14.0,1.4,28.0,28.0,1.21,1.31
386096137,Otolaryngology,1616,235,145306.0,39831.85,29864.12,33807.55,1234,11036.0,5091.43,3991.74,3991.74,382,5.0,6.0,21.0,5.0,13.0,22.0,21.0,57.0,32.0,46.0,50.0,24.0,8.0,71.0,1.2,6.0,1.53
125849228,Licensed Clinical Social Worker,133,64,87148.0,30253.73,22630.07,21658.97,0,0.0,0.0,0.0,0.0,133,0.78,0.75,0.77,34.0,1.16,1.51,0.89,22.0,20.0,63.0,55.0,17.0,0.47,38.0,0.4,0.36,0.94
626120804,Internal Medicine,640,176,118623.0,56547.69,44144.92,41716.43,114,13492.0,9079.62,8875.2,8875.2,526,9.0,10.0,6.0,11.0,9.0,13.0,7.0,20.0,15.0,39.0,52.0,18.0,2.91,28.0,1.35,1.43,0.9
149559850,Gastroenterology,262,35,18331.0,12030.9,8655.93,8577.48,0,0.0,0.0,0.0,0.0,262,0.46,0.0,0.0,0.35,0.0,0.88,0.0,63.0,0.85,34.0,1.8,1.0,0.27,31.0,0.26,0.21,0.83
471659865,Licensed Clinical Social Worker,1806,357,256017.0,115294.56,88352.49,98020.52,229,33215.0,25350.02,24841.02,24841.02,1577,11.0,9.0,10.0,11.0,10.0,20.0,10.0,20.0,14.0,60.0,62.0,28.0,6.0,41.0,4.91,6.0,1.03
944411606,Audiologist (billing independently),746,19,46481.18,19196.02,14934.05,14661.82,0,0.0,0.0,0.0,0.0,746,0.36,0.4,0.35,0.27,0.55,0.69,0.41,0.78,0.68,58.0,58.0,0.79,0.21,0.87,0.0,0.17,1.48
