X1,Provider.Type,Doctor Identifier,Number.of.Services,Number.of.Beneficiaries,Total.Submitted.Charge.Amount,Total.Allowed.Amount,Total.Payment.Amount,Total.Standardized.Payment.Amount,Number.of.Drug.Services,Total.Drug.Submitted.Charge.Amount,Total.Drug.Allowed.Amount,Total.Drug.Payment.Amount,Total.Drug.Standardized.Payment.Amount,Number.of.Medical.Services,Percent.Atrial.Fibrillation,Percent.Alzheimer.s.Disease.or.Dementia,Percent.Asthma,Percent.Cancer,Percent.Heart.Failure,Percent.Chronic.Kidney.Disease,Percent.Chronic.Obstructive.Pulmonary.Disease,Percent.Depression,Percent.Diabetes,Percent.Hyperlipidemia,Percent.Hypertension,Percent.Ischemic.Heart.Disease,Percent.Osteoporosis,Percent.Rheumatoid.Arthritis.or.Osteoarthritis,Percent.Schizophrenia.or.Other.Psychotic.Disorders,Percent.Stroke,Average.HCC.Risk.Score.of.Beneficiaries,Freq,Specialty.Category,Risk.x,Risk.y
1,Addiction Medicine,596935281,479,45,36689,13869.12,10508.14,10266.61,0,0,0,0,0,479,0.38,0.38,0.38,0.3,0.56,0.73,0.43,24,27,69,73,0.84,0.23,75,0.2,0.17,1.04,9,Other,0.399371284474383,0.411755182340652
2,Addiction Medicine,869367773,700,180,101059,50817.46,40892.9,40501.76,85,3876,2872.45,2792.7,2792.7,615,7,11,13,12,9,17,9,22,27,36,51,24,7,33,1.08,0.97,1.04,9,Other,0.419156749634795,0.43599444469701
3,Addiction Medicine,985317870,205,89,62420,20850.08,15451.75,15435.79,0,0,0,0,0,205,20,21,17,13,37,57,22,46,45,61,75,37,0.42,47,13,0.33,2.86,9,Other,0.423053769904901,0.460737887323429
4,Addiction Medicine,152323990,282,274,148109,42428.33,32237.02,32133.59,0,0,0,0,0,282,38,32,24,18,53,62,35,42,36,68,75,60,20,54,11,12,2.6,9,Other,0.470391338275426,0.519867031809175
5,Addiction Medicine,695479203,8386,1349,2259651.64,809836.07,596751.09,584438.16,1178,362800,226198.05,170184.93,170184.93,7208,15,10,11,13,20,31,12,17,39,64,75,36,9,38,3,6,1.42,9,Other,0.652940326510911,0.631016707903112
6,Addiction Medicine,757370048,221,212,174514.5,26509.1,20799.1,20950.96,0,0,0,0,0,221,13,17,19,20,20,31,20,43,26,61,70,29,10,45,11,7,1.61,9,Other,0.389185403901877,0.422450859788078
7,Addiction Medicine,226195925,715,150,111577,45829.19,35020.79,34820.2,0,0,0,0,0,715,11,20,33,1.06,15,23,32,75,29,49,63,32,0.81,33,71,7,1.79,9,Other,0.485943648926883,0.482671501806337
8,Addiction Medicine,338121337,298,86,56229.01,20643.09,15977.95,18042.13,24,3023,1548.86,1436.35,1436.35,274,1.14,1.21,1.17,0.85,16,20,1.35,29,29,72,70,34,17,29,0.68,0.5,1.19,9,Other,0.418783542560914,0.435729708475266
9,Addiction Medicine,592480476,308,13,26790,15497.97,11617.5,12413.87,0,0,0,0,0,308,0.5,0,0,0.34,0.8,0.98,0,1.19,0.92,1.57,1.85,1.07,0.28,1.13,0.37,0.24,0.88,9,Other,0.452575471445534,0.459104946054366
10,All Other Suppliers,215908907,141,109,21089,8645.67,5719.25,6170.93,0,0,0,0,0,141,0.64,0.63,21,0.49,10,22,19,41,23,39,55,20,0.39,48,13,0.29,1.32,1,Other,0.409997548070148,0.424605856299277
11,Allergy/Immunology,987881470,61,27,10287,2803.78,2198.39,2529.76,0,0,0,0,0,61,0.16,0.17,0.17,0.12,41,0.32,0.2,0.36,0.3,67,75,63,0.1,41,0.1,0.08,1.46,40,Immunization,0.469557054854432,0.460952719738671
12,Allergy/Immunology,584920079,170,89,15945,6893.23,5312.46,5648.78,0,0,0,0,0,170,0.48,15,30,0.37,22,37,26,47,74,57,73,25,0.29,29,0.25,0.22,1.97,40,Immunization,0.439575005525345,0.479939415124925
13,Allergy/Immunology,506091059,2365,527,468303,198846.05,144960.92,144979.44,119,8706,6177.26,6026.58,6026.58,2246,23,17,19,11,35,42,25,34,46,72,75,47,14,42,10,8,1.66,40,Immunization,0.517148244345617,0.530955188773964
14,Allergy/Immunology,142284612,357,26,44955,34468.22,26325.98,26073.87,0,0,0,0,0,357,1,1.11,1,0.75,1.53,1.94,1.18,75,1.86,3.31,69,2.17,0.57,2.35,0.63,0.47,1.29,40,Immunization,0.45674388797001,0.453990860659028
15,Allergy/Immunology,470272705,393,36,31951.75,7002.01,5338.45,5542.83,325,8628,2228.21,1729.34,1729.34,68,0.26,0,0.27,0.29,0.38,0.53,0.31,0.53,0.49,42,33,0.57,0,75,0,0,0.59,40,Immunization,0.468566354892632,0.480347665731704
16,Allergy/Immunology,465416390,41,24,3340,996.2,781.18,782.72,0,0,0,0,0,41,0.09,0.08,0.09,0.08,0.13,0.18,0.1,0.18,0.18,46,54,0.21,0.06,0.23,0.04,0.04,1.19,40,Immunization,0.419876950707387,0.437539185343283
17,Allergy/Immunology,985494052,675,371,307985,89106.68,66200.17,63649.35,0,0,0,0,0,675,25,28,15,14,30,41,18,39,30,65,75,49,11,42,13,57,1.99,40,Immunization,0.427761460270711,0.458174577703781
18,Allergy/Immunology,686706771,157,140,38063,11416.44,8161.47,8124.62,0,0,0,0,0,157,10,0.64,9,9,10,14,9,26,19,42,56,29,12,41,0.34,0.33,1.13,40,Immunization,0.388014665584049,0.404909850290899
19,Allergy/Immunology,673694232,1794,410,311102.14,133710.72,104820.45,102951.14,152,29809.14,20416.44,20008.19,20008.19,1642,19,10,59,18,30,29,54,29,28,60,69,37,14,37,4,6,1.77,40,Immunization,0.555794960223785,0.53751821181941
20,Allergy/Immunology,532014181,996,389,2100040,1017526.23,792939.61,792937.99,0,0,0,0,0,996,21,10,26,59,30,34,43,17,43,75,75,62,12,48,16.46,8,2.31,40,Immunization,0.556827046684654,0.574715909486752
21,Allergy/Immunology,405475681,3547,1078,1072125,325048.67,243611.01,227247.12,196,29400,10386.09,8142.48,8142.48,3351,30,18,15,15,31,36,16,27,30,61,75,57,12,44,8,12,1.62,40,Immunization,0.567813170205128,0.583625410526613
22,Allergy/Immunology,228011018,119,117,145710.4,16839.27,13127.42,13463.42,0,0,0,0,0,119,0.25,21,13,14,22,40,17,32,50,51,75,37,12,50,0.09,0.11,2.49,40,Immunization,0.411651304035996,0.452454191296112
23,Allergy/Immunology,683467703,566,229,24845.17,23501.57,23030.91,24813.76,283,19444.57,18100.97,17738.76,17738.76,283,7,6,7,8,8,18,9,21,28,44,62,23,5,28,6,1.94,1.07,40,Immunization,0.502083669550463,0.509863712874255
24,Allergy/Immunology,987794778,696,158,102845,64154.71,50158.49,50991.88,0,0,0,0,0,696,2.08,7,28,1.54,8,17,23,75,18,28,44,17,1.2,22,53,0.99,1.61,40,Immunization,0.47932369059432,0.45682055795264
25,Allergy/Immunology,538676018,2226,546,369052.7,171616.16,132979.04,130313.45,227,9762.06,6742.07,6546.13,6546.13,1999,15,4,11,13,12,18,9,17,19,65,68,26,10,41,3,4,1.11,40,Immunization,0.483936497721956,0.504044101018433
26,Allergy/Immunology,463410563,2033,696,357194,82209.91,63434.07,56858.96,0,0,0,0,0,2033,13,8,13,20,14,25,10,25,25,50,62,30,8,40,5,4,1.16,40,Immunization,0.411272445660134,0.446110957246594
27,Allergy/Immunology,431793873,948,430,986979,138646.64,108904.33,109787.57,0,0,0,0,0,948,16,8,19,14,21,37,19,38,35,61,71,41,9,46,10,6,1.92,40,Immunization,0.421475741642118,0.44645048992639
28,Allergy/Immunology,557072389,82,46,13148,3475.91,2452.91,2376.42,0,0,0,0,0,82,0.22,0.19,0.22,0.19,0.32,24,0.25,26,24,57,70,24,0.14,52,0.09,0.1,1.25,40,Immunization,0.384866452635605,0.409113518733046
29,Allergy/Immunology,628984684,2106,69,129080,58724.33,46039.6,43846.78,0,0,0,0,0,2106,1.05,1.08,1,0.86,1.55,17,1.16,23,38,71,70,39,17,67,0,0.48,1.13,40,Immunization,0.442744671471544,0.4662327751885
30,Allergy/Immunology,472604952,537,20,67235,34215.91,25882.95,26001.44,0,0,0,0,0,537,0,0,0.88,0,1.36,1.7,1.04,75,1.62,2.84,3.34,1.89,0,2.04,0.58,0,1.33,40,Immunization,0.465675051826803,0.471402043284768
31,Allergy/Immunology,653596648,11640,1496,8884216,3362579.8,2596471.9,2553768.42,4300,5362340,2565095.55,2005118.17,2011722.93,7340,13,7,7,13,14,23,8,17,28,52,64,30,11,35,2,5,1.22,40,Immunization,0.677645355114063,0.659382985237231
32,Allergy/Immunology,150641010,66,59,18319,4613.27,3182.38,3791.43,0,0,0,0,0,66,0.33,0.35,31,0.24,0.5,29,0.4,54,51,47,61,0.71,0,44,0.2,0.16,1.3,40,Immunization,0.415604981923518,0.469214495158487
33,Allergy/Immunology,382482264,101,51,73990,24738.91,19395.45,18690.97,0,0,0,0,0,101,24,24,0.54,0.45,0.81,35,0.63,37,37,49,69,45,0.32,24,0.28,31,1.47,40,Immunization,0.431666574006111,0.489254828604791
34,Allergy/Immunology,439207772,452,34,17856,13200.61,10349.2,9114.79,0,0,0,0,0,452,0.3,0.24,0.27,0.28,0.41,0.56,0.31,0.51,0.59,44,62,0.69,0.19,50,0.1,0.13,0.93,40,Immunization,0.417411098263734,0.445192279944385
35,Allergy/Immunology,155908713,183,172,55760,20553.37,15165.69,15274.12,0,0,0,0,0,183,9,15,22,8,28,35,23,46,40,49,68,34,0.59,35,13,0.45,1.77,40,Immunization,0.403244029202241,0.434662246242025
36,Allergy/Immunology,132984673,550,195,160585,45685.33,35527.27,34314.13,0,0,0,0,0,550,13,7,11,22,14,29,13,18,23,55,67,39,7,36,0.58,6,2.4,40,Immunization,0.403130227839448,0.440082188011066
37,Allergy/Immunology,806355633,131,60,193372,67414.14,52852.69,52945.42,0,0,0,0,0,131,30,1.63,1.48,1.08,55,57,23,25,47,75,75,75,0.83,18,0.95,0.7,1.83,40,Immunization,0.477005920495036,0.48587757787459
38,Allergy/Immunology,938344571,1232,536,377179,157509.69,129526.93,127566,300,1529,1201.05,771.32,771.32,932,6,5,13,9,8,26,9,29,28,44,57,17,4,40,5,4,1.19,40,Immunization,0.430631776381331,0.482556096039735
39,Allergy/Immunology,748034269,488,270,251425.8,66437.33,51752.39,50133.23,0,0,0,0,0,488,20,27,26,17,41,47,32,41,53,64,75,53,9,37,16,12,2.39,40,Immunization,0.433660735970302,0.480281262881634
40,Allergy/Immunology,911109123,893,394,730792,192553.1,150095.29,146848.4,0,0,0,0,0,893,37,26,22,17,55,49,23,44,38,68,75,74,12,38,6,24,1.95,40,Immunization,0.500051301771282,0.512911099891975
41,Allergy/Immunology,674809114,200,112,4140,1645.12,1477.13,1479.66,0,0,0,0,0,200,0.35,0.27,28,0.29,12,30,21,44,70,57,70,30,0.22,25,0.13,0.15,1.32,40,Immunization,0.416747416445521,0.448303566624914
42,Allergy/Immunology,728175403,468,226,11635.66,11600.26,11368.22,12891.2,234,7501.44,7466.04,7316.09,7316.09,234,12,12,8,12,8,16,7,17,24,58,55,23,7,26,7,1.07,0.97,40,Immunization,0.462047848374491,0.513078269415196
43,Allergy/Immunology,500529407,2039,311,346588,153441.57,114297.86,108141.99,255,36118,22566.01,22108.33,22108.33,1784,11,14,8,12,14,24,11,26,22,37,62,26,12,30,3.52,9,1.47,40,Immunization,0.53306603839146,0.534009435081482
44,Allergy/Immunology,439946932,1129,409,259976,103559.27,80330.34,79537.16,0,0,0,0,0,1129,33,31,36,19,53,57,45,49,38,68,75,56,20,48,15,12,2.49,40,Immunization,0.489995681791903,0.521834587345528
45,Allergy/Immunology,953965258,1257,360,324885,107621.16,80743.33,72388.43,0,0,0,0,0,1257,14,10,16,10,17,21,16,23,22,50,61,29,9,43,0.89,6,1.21,40,Immunization,0.393026033487815,0.426285025126242
46,Allergy/Immunology,949757198,105,26,12553,5803.67,4466.39,5184.45,0,0,0,0,0,105,0.28,0.34,0.3,0.18,0.44,0.55,0.35,75,0.51,46,54,0.59,0.16,50,0.2,0.14,1.13,40,Immunization,0.427667627129771,0.452404687420107
47,Allergy/Immunology,861248961,1607,206,154636.87,62815.51,52462.98,51823.09,159,30466.58,15215.07,14908.78,14908.78,1448,10,4.23,6,10,7,24,5.85,16,22,53,51,24,7,31,1.85,1.9,0.96,40,Immunization,0.510535541888004,0.527032142924143
48,Allergy/Immunology,519953140,442,14,58360,29473.63,22752.19,22567.1,0,0,0,0,0,442,0.68,0,0.68,0.51,1.06,1.33,0.81,75,1.28,2.25,2.64,1.49,0,1.61,0.44,0,0.96,40,Immunization,0.464558514748603,0.474223030467574
49,Allergy/Immunology,243464697,292,266,392350,61990.52,47384.83,48081.71,0,0,0,0,0,292,19,14,18,18,27,40,22,41,37,68,75,40,9,40,8,7,1.93,40,Immunization,0.401074942816654,0.443718391334887
50,Allergy/Immunology,787520710,235,142,68184,25735.18,19597.34,18984.25,0,0,0,0,0,235,32,34,25,15,48,60,37,46,42,68,75,63,12,47,18,10,2.18,40,Immunization,0.469754549314742,0.501601781179888
51,Ambulance Service Supplier,323949312,201,59,42869,13363.63,9691.5,10491.95,0,0,0,0,0,201,0.53,0.59,0.55,0.37,0.82,1.03,0.64,41,25,32,47,1.13,0.3,29,0.34,0.25,1.11,168,Other,0.389866131483952,0.40579741400063
52,Ambulance Service Supplier,499498322,425,351,202067,58487.73,44691.05,44996.29,0,0,0,0,0,425,23,25,29,14,37,42,38,44,42,66,75,54,13,47,12,14,2.12,168,Other,0.443480590830107,0.476385183669162
53,Ambulance Service Supplier,112040943,1450,357,2503044,633937.94,486486.72,483104.74,0,0,0,0,0,1450,11,12,19,9,15,23,14,41,29,55,71,29,18,75,5,7,1.35,168,Other,0.501959926340626,0.516195150894704
54,Ambulance Service Supplier,439828715,493,140,314740,77190.88,58141.35,55894.8,0,0,0,0,0,493,16,1.29,11,24,12,19,12,24,17,51,61,20,9,40,0.68,0.65,1.3,168,Other,0.386187980825175,0.40951829123116
55,Ambulance Service Supplier,456675315,802,612,370500,78615.06,58119.33,69646.29,0,0,0,0,0,802,17,14,26,11,22,29,25,49,29,52,72,34,8,40,20,8,1.68,168,Other,0.424416542211959,0.46510486546957
56,Ambulance Service Supplier,746061828,5301,1877,603544,283002.02,207256.04,204582.79,0,0,0,0,0,5301,37,17,18,12,38,34,21,30,30,60,75,47,10,42,5,12,1.72,168,Other,0.499372094752962,0.536127821613532
57,Ambulance Service Supplier,191035718,2632,219,357383.07,150895.57,117969.82,121233.02,0,0,0,0,0,2632,29,37,21,16,38,51,25,37,26,61,75,51,11,48,14,15,2.08,168,Other,0.454955900413179,0.488227812709058
58,Ambulance Service Supplier,701093137,915,609,558778,94386.96,73129.38,77192.59,0,0,0,0,0,915,20,26,23,15,38,41,29,41,41,59,75,51,14,47,11,12,1.93,168,Other,0.436387346414933,0.473648833133725
59,Ambulance Service Supplier,152836211,2197,157,103879.37,84486.13,64000.63,63544.11,1523,5032.42,2714.96,2106.01,2106.01,674,10,8,13,2.84,14,17,17,31,23,53,71,26,10,75,1.78,1.48,1.18,168,Other,0.451402930364342,0.458911633233013
60,Ambulance Service Supplier,593440735,1549,1114,576070,91557.31,69552.35,69258.59,0,0,0,0,0,1549,18,19,21,19,33,52,26,42,40,59,75,50,11,45,11,10,2.37,168,Other,0.437940900142483,0.492058119630421
61,Ambulance Service Supplier,506486907,708,246,172663,58928.24,46171.26,52517.98,0,0,0,0,0,708,32,42,22,25,59,70,42,40,39,61,75,56,18,38,18,26,2.54,168,Other,0.477836647113874,0.542521425738735
62,Ambulance Service Supplier,891662300,4956,798,1323267.5,383697.45,286872.69,271926.84,967,184215,65831.22,51322.74,51322.74,3989,17,11,10,19,19,33,12,19,28,65,73,39,7,37,4,5,1.37,168,Other,0.626996936036563,0.591792452333962
63,Ambulance Service Supplier,116995221,759,524,486963,129724.51,96924.84,98497.75,0,0,0,0,0,759,6,6,14,12,13,24,10,31,28,48,65,23,10,36,4,2,1.26,168,Other,0.387016705320999,0.417344058503681
64,Ambulance Service Supplier,247964032,450,77,52175,37990.59,28880.43,28474.35,0,0,0,0,0,450,1.21,16,21,0.93,1.84,21,1.41,75,29,35,52,16,0.71,16,75,0.57,1.22,168,Other,0.471375097028247,0.454336068918841
65,Ambulance Service Supplier,570177691,724,313,311785.5,107817.95,83997.77,82565.26,0,0,0,0,0,724,25,24,20,15,33,41,24,37,26,64,75,46,18,45,9,25,1.85,168,Other,0.424335027640867,0.462180311337509
66,Ambulance Service Supplier,839698954,201,141,55039.95,30510.35,23920.54,27384.45,0,0,0,0,0,201,37,35,30,16,72,75,47,45,50,68,75,59,13,42,12,14,2.95,168,Other,0.501874222300654,0.539234669235534
67,Ambulance Service Supplier,288582160,1267,409,46633,38170.61,32740.03,32685.05,378,11365,7537.78,7368.82,7368.82,889,7,6,12,9,13,27,13,25,28,44,55,21,9,23,7,4,1.1,168,Other,0.455413662750789,0.47617058271117
68,Ambulance Service Supplier,762702828,207,166,63277,32180.7,24547.92,23763.03,0,0,0,0,0,207,20,26,34,11,44,51,36,51,39,53,75,52,10,37,22,11,2.36,168,Other,0.464709920388456,0.485764883974431
69,Ambulance Service Supplier,761644444,327,189,104929,28096.17,20451.77,19689.94,0,0,0,0,0,327,9,8,12,17,15,19,10,34,26,39,58,26,14,34,0.48,0.48,2.2,168,Other,0.405468927006899,0.418930042303076
70,Ambulance Service Supplier,889711836,661,469,57754,17427.33,13543.58,13396.8,0,0,0,0,0,661,24,14,27,16,39,54,26,39,41,61,75,53,13,41,12,17,2.29,168,Other,0.446329500024008,0.468121124457088
71,Ambulance Service Supplier,926150440,2105,635,598887,191155.96,152920.08,144430.59,175,30021,23905.38,23401.77,23401.77,1930,13,10,6,16,14,16,9,18,18,42,57,34,8,33,2,5,1.14,168,Other,0.558503448486812,0.529667597625015
72,Ambulance Service Supplier,637765737,1095,913,299354.09,167316.87,128276.71,129749.4,0,0,0,0,0,1095,19,24,29,13,33,45,31,45,38,57,75,38,10,44,12,12,1.96,168,Other,0.462753114312131,0.483492788400525
73,Ambulance Service Supplier,864807911,11608,133,555520,332082.1,256610.32,283525.45,0,0,0,0,0,11608,9.63,13.41,10.27,10,15.89,16,12.32,27,12,55,57,26,5.22,59,0,4.85,0.85,168,Other,0.504101307323531,0.531736526550181
74,Ambulance Service Supplier,964745492,221,84,57320,17121.95,11407.76,11068.49,0,0,0,0,0,221,0.64,0.6,0.64,0.52,13,32,0.72,15,30,20,67,29,0.39,38,0.32,0.29,1.54,168,Other,0.387395166556715,0.404090343004761
75,Ambulance Service Supplier,941632501,6130,290,343546.32,158907.12,121237.51,107765.83,0,0,0,0,0,6130,11,2.18,10,12,9,14,8,17,24,63,58,23,8,59,0.9,4,1.01,168,Other,0.453720097199869,0.483687489696225
76,Ambulance Service Supplier,849418599,6613,428,397398,212055.73,180172.34,174159.17,858,68884,41458.36,40598.45,40598.45,5755,7,5,4,11,10,29,7,16,24,55,59,18,4,27,3,3,1.02,168,Other,0.597383448084283,0.584156142877066
77,Ambulance Service Supplier,950560708,778,276,151099,56847.33,45623.3,43538.15,82,5774,3929.2,3813.3,3813.3,696,21,12,12,13,18,26,11,25,20,39,63,31,12,40,1.04,6,1.25,168,Other,0.43071694985112,0.449083962500197
